,Adj Close,Close,High,Low,Open,Volume
1990-02-01,1.036634,34.0,35.25,32.25,34.5,34121300.0
1990-03-01,1.227191,40.25,43.375,33.25,33.5,54316100.0
1990-04-02,1.200513,39.375,44.25,38.125,40.0,47235800.0
1990-05-01,1.261172,41.25,42.75,38.75,39.75,47939900.0
1990-06-01,1.36818,44.75,44.875,37.5,41.375,50919600.0
1990-07-02,1.284102,42.0,47.75,40.0,44.5,50712100.0
1990-08-01,1.134654,37.0,43.75,33.5,42.0,35084700.0
1990-09-04,0.889323,29.0,37.5,27.25,36.5,31355100.0
1990-10-01,0.942989,30.75,32.0,24.25,29.5,56574700.0
1990-11-01,1.13076,36.75,38.5,29.75,30.5,40191800.0
1990-12-03,1.323066,43.0,45.25,37.0,37.25,51729500.0
1991-01-02,1.707678,55.5,56.0,42.0,42.75,82726100.0
1991-02-01,1.765236,57.25,62.250004,54.75,55.5,75962300.0
1991-03-01,2.096699,68.0,70.25,57.000004,57.000004,66116200.0
1991-04-01,1.69586,55.0,73.25,54.5,68.0,90392000.0
1991-05-01,1.452903,47.0,53.75,44.0,48.0,93076200.0
1991-06-03,1.282882,41.5,49.5,40.25,47.0,53978800.0
1991-07-01,1.429718,46.25,48.25,41.75,42.25,44162400.0
1991-08-01,1.642084,53.0,55.5,45.75,46.0,48168000.0
1991-09-03,1.533644,49.5,53.5,46.5,52.75,30703400.0
1991-10-01,1.59561,51.5,56.25,46.5,49.25,41584700.0
1991-11-01,1.576159,50.75,55.25,47.5,51.25,46626500.0
1991-12-02,1.750857,56.375,58.0,48.5,50.75,32633300.0
1992-01-02,2.010962,64.75,69.0,55.5,55.75,55087700.0
1992-02-03,2.100296,67.5,70.0,61.75,64.75,34544600.0
1992-03-02,1.812478,58.25,68.5,57.75,67.75,36344200.0
1992-04-01,1.870819,60.125,61.25,53.0,57.25,49900600.0
1992-05-01,1.859151,59.75,63.25,58.25,60.0,36024600.0
1992-06-01,1.496552,48.0,59.5,42.75,57.25,57329800.0
1992-07-01,1.45758,46.75,49.5,43.5,48.0,42312700.0
1992-08-03,1.438056,46.0,47.25,41.5,46.75,34138600.0
1992-09-01,1.410702,45.125,50.0,43.75,46.25,37568000.0
1992-10-01,1.64126,52.5,54.0,41.5,44.75,41605200.0
1992-11-02,1.8014,57.5,59.5,51.5,52.5,41088100.0
1992-12-01,1.87189,59.75,61.25,54.5,57.25,38938000.0
1993-01-04,1.864058,59.5,65.25,57.25,59.5,72604500.0
1993-02-01,1.664047,53.0,61.5,51.5,59.25,65081100.0
1993-03-01,1.616951,51.5,57.75,50.25,53.0,42223500.0
1993-04-01,1.609102,51.25,52.5,46.75,51.25,48175600.0
1993-05-03,1.781583,56.625,59.125,51.0,51.25,42306100.0
1993-06-01,1.242782,39.5,58.25,38.5,56.5,89484600.0
1993-07-01,0.873094,27.75,39.75,25.5,39.0,87587600.0
1993-08-02,0.83744,26.5,30.75,25.875,28.25,43307200.0
1993-09-01,0.738685,23.375,27.0,23.0,26.5,46939600.0
1993-10-01,0.971746,30.75,32.25,22.0,22.75,71930800.0
1993-11-01,0.99903,31.5,35.0,29.75,30.75,42437700.0
1993-12-01,0.92767,29.249998,32.5,26.5,32.0,46794700.0
1994-01-03,1.038674,32.75,35.25,28.75,29.5,90124000.0
1994-02-01,1.161772,36.5,38.25,32.25,33.0,58003700.0
1994-03-01,1.058326,33.25,38.5,31.5,36.75,59424400.0
1994-04-04,0.954881,30.0,34.25,27.0,32.25,54433100.0
1994-05-02,0.93469,29.249998,33.75,28.500002,30.0,43084000.0
1994-06-01,0.846813,26.5,28.625,24.625,28.500002,54244500.0
1994-07-01,1.076491,33.6875,34.0,25.375,26.375,67547900.0
1994-08-01,1.16039,36.1875,37.375,32.125,33.625,53551400.0
1994-09-01,1.080225,33.6875,37.25,33.375,35.375,39337400.0
1994-10-03,1.384853,43.1875,43.75,32.5,33.625,96064100.0
1994-11-01,1.198058,37.25,43.484299,36.375,42.875,51916400.0
1994-12-01,1.254343,39.0,39.875,34.75,37.0,45962900.0
1995-01-03,1.298566,40.375,48.0625,37.875,38.875,99700900.0
1995-02-01,1.273922,39.5,44.5,38.0,40.75,72662000.0
1995-03-01,1.136854,35.25,40.75,33.875,39.75,78047600.0
1995-04-03,1.233608,38.25,39.625,33.625,35.5,77231800.0
1995-05-01,1.344162,41.5625,44.375,37.5,38.25,74365900.0
1995-06-01,1.501823,46.4375,50.125,41.5,41.875,64629900.0
1995-07-03,1.455333,45.0,49.875,43.0,46.5,73226300.0
1995-08-01,1.394453,43.0,46.25,41.875,44.875,58486700.0
1995-09-01,1.207986,37.25,45.5,34.75,43.0,94936200.0
1995-10-02,1.177583,36.3125,39.5625,33.625,37.75,77133200.0
1995-11-01,1.240218,38.125,42.5,35.5,36.625,59989800.0
1995-12-01,1.036904,31.874998,40.125,31.625,38.0,85804700.0
1996-01-02,0.89865,27.625,35.5,26.859299,32.25,120775800.0
1996-02-01,0.894584,27.5,30.250002,27.25,27.5,59562300.0
