,Adj Close,Close,High,Low,Open,Volume
1990-02-01,4.125,8.25,8.75,6.875,7.25,723000.0
1990-03-01,4.5625,9.125,10.125,8.25,8.25,1067700.0
1990-04-02,4.375,8.75,9.5,8.125,8.875,619300.0
1990-05-01,5.25,10.5,11.375,8.25,8.75,1593200.0
1990-06-01,4.75,9.5,10.75,8.875,10.625,1186600.0
1990-07-02,3.5,7.0,9.75,6.75,9.5,852700.0
1990-08-01,2.6875,5.375,7.0,4.875,6.875,1174600.0
1990-09-04,2.5625,5.125,6.5,4.875,5.375,612200.0
1990-10-01,1.9375,3.875,5.75,3.625,5.25,731700.0
1990-11-01,2.1875,4.375,4.875,3.75,3.875,617100.0
1990-12-03,2.4375,4.875,5.375,4.25,4.375,954600.0
1991-01-02,3.625,7.25,7.5,4.0,4.875,1619800.0
1991-02-01,4.0625,8.125,8.25,7.125,7.25,1861300.0
1991-03-01,5.25,10.5,11.75,7.875,8.0,3121600.0
1991-04-01,6.125,12.25,14.25,10.0,10.25,3030200.0
1991-05-01,6.75,13.5,13.75,10.5,12.125,1808600.0
1991-06-03,6.0,12.0,14.125,11.375,13.5,1381200.0
1991-07-01,5.5625,11.125,13.625,10.125,12.375,1817800.0
1991-08-01,6.1875,12.375,12.625,10.125,11.25,2902900.0
1991-09-03,4.6875,9.375,12.5,8.625,12.375,1431400.0
1991-10-01,6.375,12.75,13.0,8.375,9.25,2994500.0
1991-11-01,7.1875,14.375,14.625,11.75,12.75,2746800.0
1991-12-02,8.75,17.5,17.75,13.875,14.0,2632500.0
1992-01-02,9.4375,18.875,21.375,17.375,17.375,4648500.0
1992-02-03,9.1875,18.375,21.5,17.875,18.5,3060200.0
1992-03-02,8.875,17.75,19.625,16.25,18.25,1993200.0
1992-04-01,8.9375,17.875,19.5,14.625,17.625,2475200.0
1992-05-01,7.875,15.75,18.5,14.75,17.75,2054100.0
1992-06-01,4.375,8.75,16.0,8.5,15.5,2629600.0
1992-07-01,4.4375,8.875,9.0,7.375,8.75,2099500.0
1992-08-03,5.0625,10.125,10.125,8.375,8.75,1452800.0
1992-09-01,5.625,11.25,13.0,10.125,10.125,1924800.0
1992-10-01,8.25,16.5,16.75,10.625,11.125,3221300.0
1992-11-02,8.9375,17.875,18.625,15.125,16.5,1981900.0
1992-12-01,9.0625,18.125,18.75,15.0,17.875,2349600.0
1993-01-04,9.375,18.75,21.5,17.625,18.0,2694800.0
1993-02-01,10.875,21.75,22.5,18.5,18.625,2603500.0
1993-03-01,11.5,23.0,24.5,20.875,21.875,1535300.0
1993-04-01,14.0625,28.125,32.875,21.125,23.0,3754700.0
1993-05-03,14.3125,28.625,30.75,27.25,28.5,1924400.0
1993-06-01,12.0625,24.125,29.25,20.375,28.5,3381600.0
1993-07-01,11.9375,23.875,25.75,22.75,24.125,1379200.0
