,Adj Close,Close,High,Low,Open,Volume
1990-02-01,5.104629,44.5,45.125,40.75,42.25,1256100
1990-03-01,4.445042,38.75,46.5,37.875,44.125,2057400
1990-04-02,4.359009,38.0,38.75,33.875,38.5,1391700
1990-05-01,4.486501,38.75,40.25,36.75,38.0,1514400
1990-06-01,4.341775,37.5,44.25,36.5,39.0,1458800
1990-07-02,4.153632,35.875,38.5,33.625,37.5,1210500
1990-08-01,3.817992,32.625,35.625,30.0,35.625,941300
1990-09-04,2.501443,21.375,33.125,18.0,32.875,1970900
1990-10-01,2.018709,17.25,22.5,16.875,22.0,2193600
1990-11-01,2.808638,24.0,26.0,17.25,17.375,3078700
1990-12-03,2.7189,22.875,27.5,22.5,23.875,1938700
1991-01-02,3.342909,28.125,29.125,21.5,23.0,1160900
1991-02-01,3.476626,29.25,33.375,27.625,28.25,1507400
1991-03-01,4.166242,34.625,35.5,28.875,29.375,2049200
1991-04-01,4.436973,36.875,40.375,34.25,34.375,1011000
1991-05-01,5.068677,42.125,42.625,35.25,36.75,2101400
1991-06-03,4.339725,35.75,42.75,35.5,41.625,1313900
1991-07-01,4.218334,34.75,38.75,33.875,36.0,2401300
1991-08-01,4.733059,38.625,39.75,34.5,34.75,2461000
1991-09-03,4.365443,35.625,38.75,35.25,38.625,1049200
1991-10-01,4.579885,37.375,38.375,33.0,35.625,1967500
1991-11-01,4.212269,34.375,39.125,33.875,37.375,1542800
1991-12-02,5.032302,40.625,41.0,33.625,34.0,1743600
1992-01-02,5.434886,43.875,46.5,39.625,40.375,2555400
1992-02-03,5.883922,47.5,48.125,43.25,43.375,2517100
1992-03-02,5.680426,45.5,48.0,43.875,46.875,2088700
1992-04-01,5.961326,47.75,49.875,43.125,44.75,2172200
1992-05-01,5.805271,46.5,49.75,46.0,47.5,1654100
1992-06-01,5.99341,47.625,47.625,44.25,46.125,2266200
1992-07-01,5.78891,46.0,50.0,43.75,47.75,2069700
1992-08-03,5.441139,42.875,47.375,42.75,45.875,5311700
1992-09-01,5.631499,44.375,45.125,42.375,42.75,2601900
1992-10-01,5.86945,46.25,47.25,41.625,44.25,1762600
1992-11-02,6.443983,50.375,51.0,46.125,46.125,1947400
1992-12-01,6.571903,51.375,53.375,49.5,50.375,8995700
1993-01-04,6.875714,53.75,54.5,49.5,51.625,2054800
1993-02-01,6.843734,53.5,56.25,49.5,53.625,2124900
1993-03-01,7.040281,54.625,58.0,53.0,53.0,1877400
1993-04-01,6.395862,49.625,57.875,46.25,54.625,3049600
1993-05-03,6.124425,47.125,51.25,45.0,49.5,3373500
1993-06-01,6.449328,49.625,50.125,45.25,47.0,2860400
1993-07-01,6.546799,50.375,52.375,48.25,49.5,2125500
1993-08-02,6.748309,51.5,53.625,50.0,50.125,2189100
1993-09-01,6.748309,51.5,53.125,48.625,51.25,3269800
1993-10-01,6.109512,46.625,53.25,46.0,51.5,3701600
1993-11-01,6.230411,47.125,48.0,44.5,46.625,4850100
1993-12-01,6.478305,49.0,50.125,46.625,47.375,2214100
1994-01-03,6.709673,50.75,50.875,47.75,48.875,2921000
1994-02-01,6.523333,48.875,50.75,47.375,50.5,2426500
1994-03-01,6.10624,45.75,48.75,44.375,48.625,3495100
1994-04-04,6.973794,52.25,53.375,44.5,44.75,5231600
1994-05-02,7.452377,55.375,56.0,51.25,53.0,3032400
1994-06-01,6.914056,51.375,57.375,50.75,55.25,2564800
1994-07-01,7.502844,55.75,55.875,51.25,51.25,1815300
1994-08-01,7.565979,55.75,56.0,54.375,55.75,2399600
1994-09-01,6.64992,49.0,55.625,47.125,55.5,3816000
1994-10-03,6.717776,49.5,50.75,46.5,49.0,3144900
1994-11-01,6.157399,44.875,50.0,43.625,49.375,3376500
1994-12-01,6.191702,45.125,47.125,43.375,44.875,3573400
1995-01-03,6.397521,46.625,48.875,44.625,45.125,2978900
1995-02-01,6.911385,49.875,51.625,46.0,46.75,2853900
1995-03-01,7.032638,50.75,51.75,48.375,50.0,3034500
1995-04-03,6.928707,50.0,53.125,49.625,50.75,3370300
1995-05-01,7.917135,56.625,56.75,49.625,50.0,2705700
1995-06-01,7.497684,53.625,57.75,53.5,56.375,3064600
1995-07-03,7.847227,56.125,57.5,53.75,53.75,2403700
1995-08-01,8.65146,61.375,62.375,55.375,56.0,2698400
1995-09-01,9.479604,67.25,68.875,60.125,61.0,3989800
1995-10-02,9.268163,65.75,73.0,64.0,67.25,3680300
1995-11-01,10.160679,71.5,73.875,65.625,65.875,2810400
1995-12-01,9.894228,69.625,74.75,67.875,71.75,2706100
1996-01-02,9.929754,69.875,70.375,64.375,69.375,4407100
1996-02-01,10.5621,73.75,76.25,68.0,70.0,4228600
1996-03-01,11.475096,80.125,81.375,71.0,74.5,3924800
1996-04-01,11.439292,79.875,82.75,74.75,80.875,3191900
1996-05-01,11.618311,81.125,82.75,75.75,79.5,2834000
1996-06-03,11.915406,82.625,84.625,78.25,80.75,3296400
1996-07-01,12.402118,86.0,86.0,76.375,82.75,3359200
1996-08-01,12.275933,85.125,94.125,84.625,85.875,6832500
1996-09-03,12.615409,86.875,87.125,82.0,84.0,6974400
1996-10-01,13.686357,94.25,94.75,86.25,87.375,3001700
1996-11-01,15.047732,103.625,105.25,92.75,94.375,3906000
1996-12-02,14.288911,97.75,103.375,91.5,103.375,3849400
1997-01-02,15.805509,108.125,110.125,96.0,98.0,5877300
1997-02-03,17.541374,60.0,125.375,59.5,108.0,7263300
1997-03-03,16.312244,55.5,65.0,54.75,59.375,5923400
1997-04-01,17.745077,60.375,61.0,54.0,55.0,4562700
1997-05-01,17.304205,58.875,63.75,57.125,60.375,3912700
1997-06-02,19.081007,64.5625,70.0,58.125,59.375,4995200
1997-07-01,21.03898,71.1875,71.6875,64.625,65.0,3314200
1997-08-01,17.658707,59.75,71.1875,57.5625,70.9375,5083400
1997-09-02,18.390032,61.875,64.5625,56.625,59.25,7099900
1997-10-01,17.777031,59.8125,66.375,55.0,62.625,4347500
