,Adj Close,Close,High,Low,Open,Volume
1990-02-01,4.014281,60.625,60.625,54.25,55.5,2523600.0
1990-03-01,4.047389,61.125,62.875,59.25,60.5,3035300.0
1990-04-02,4.08428,61.375,62.875,59.25,60.625,2784300.0
1990-05-01,4.458602,67.0,68.375,61.0,61.375,4287800.0
1990-06-01,3.501999,52.625,68.5,51.5,67.0,6354700.0
1990-07-02,3.271054,48.875,54.5,47.625,52.625,4012100.0
1990-08-01,2.877858,43.0,49.25,40.625,48.875,2313300.0
1990-09-04,2.827663,42.25,44.75,40.875,43.0,1898900.0
1990-10-01,2.747947,40.75,44.25,38.125,42.25,2329300.0
1990-11-01,2.773235,41.125,44.0,39.25,40.375,2540500.0
1990-12-03,3.169411,47.0,48.25,41.5,41.75,1858100.0
1991-01-02,3.376939,49.75,50.5,42.625,47.0,2544100.0
1991-02-01,3.707845,54.625,55.875,47.375,49.75,4332800.0
1991-03-01,3.249667,47.875,57.625,47.625,54.625,3596600.0
1991-04-01,3.25352,47.625,51.125,46.25,47.875,2093900.0
1991-05-01,3.535321,51.75,52.5,45.75,47.875,3100700.0
1991-06-03,3.373072,49.375,53.75,48.625,51.75,1775800.0
1991-07-01,3.376827,49.125,50.375,47.125,49.375,1631400.0
1991-08-01,3.265125,47.5,50.0,44.5,49.125,2029100.0
1991-09-03,3.067499,44.625,47.5,44.25,47.5,1612200.0
1991-10-01,3.321455,48.0,49.375,44.125,44.625,2323700.0
1991-11-01,2.854376,41.25,48.875,37.625,48.0,2752300.0
1991-12-02,3.036018,43.875,44.0,38.5,41.25,2678500.0
1992-01-02,3.246623,46.75,48.375,41.25,43.875,2917000.0
1992-02-03,3.394197,48.875,52.75,46.625,46.75,3133100.0
1992-03-02,3.472324,50.0,51.875,47.0,49.25,1958800.0
1992-04-01,3.909745,56.125,57.25,47.125,49.75,3501100.0
1992-05-01,4.205806,60.375,60.75,53.5,56.125,2884300.0
1992-06-01,3.744299,53.75,62.125,50.5,60.375,2884200.0
1992-07-01,3.859613,55.25,56.125,49.25,53.75,2361600.0
1992-08-03,3.370612,48.25,55.25,46.625,55.25,2424400.0
1992-09-01,3.641309,52.125,53.5,47.625,48.25,2564400.0
1992-10-01,3.660475,52.25,53.75,48.0,52.0,2932400.0
1992-11-02,3.975731,56.75,56.75,51.625,52.25,2179600.0
1992-12-01,3.756803,53.625,56.875,52.625,56.75,1721800.0
1993-01-04,3.942435,56.125,57.625,53.875,53.875,2251200.0
1993-02-01,4.074142,58.0,59.5,55.25,56.125,2488500.0
1993-03-01,4.153167,59.125,60.625,56.875,58.0,2356200.0
1993-04-01,4.876135,69.25,69.375,57.625,59.125,4235600.0
1993-05-03,5.043367,71.625,73.0,66.875,69.25,3922600.0
1993-06-01,5.272212,74.875,78.25,71.375,71.625,4151600.0
1993-07-01,5.42369,76.875,80.25,72.75,74.875,3145700.0
1993-08-02,5.802907,82.25,83.25,76.625,76.875,2528100.0
1993-09-01,5.573613,79.0,82.25,75.0,82.25,2323800.0
1993-10-01,6.467472,91.5,91.75,79.0,79.0,3434400.0
1993-11-01,6.025705,85.25,93.125,82.75,91.5,4080400.0
1993-12-01,6.290765,89.0,90.75,83.75,85.5,2423900.0
1994-01-03,7.372045,104.125,105.25,88.75,89.0,4156200.0
1994-02-01,7.672944,108.375,112.125,102.375,104.25,4661500.0
1994-03-01,7.956144,112.375,121.5,106.0,108.375,4900100.0
1994-04-04,7.789706,109.875,121.25,99.75,112.375,5272200.0
1994-05-02,7.577018,106.875,113.375,104.75,109.875,4062200.0
1994-06-01,7.089607,100.0,110.75,100.0,106.25,3513500.0
1994-07-01,7.704567,108.375,111.125,100.0,100.0,2686300.0
1994-08-01,8.202209,115.375,116.5,102.875,108.625,3447900.0
1994-09-01,7.695681,54.125,115.375,52.75,114.875,3086800.0
1994-10-03,8.518434,59.75,60.0,52.375,54.125,3364200.0
1994-11-01,7.716489,54.125,59.75,51.375,59.75,3634100.0
1994-12-01,7.859057,55.125,55.375,50.625,53.875,2697200.0
1995-01-03,7.356837,51.375,58.875,51.375,55.125,4229500.0
1995-02-01,7.392637,51.625,54.375,50.75,51.375,3251500.0
1995-03-01,7.947532,55.5,57.375,48.25,51.125,4951300.0
1995-04-03,8.414442,58.5,58.5,55.0,55.5,3394700.0
