,Adj Close,Close,High,Low,Open,Volume
1990-02-01,0.906842,22.249952,22.74995,20.374956,20.499956,1692100.0
1990-03-01,0.969417,23.749949,24.124947,22.374952,22.374952,2309100.0
1990-04-02,0.97452,23.874947,25.249947,23.374949,23.624949,2299400.0
1990-05-01,1.051053,25.749945,26.999941,23.874947,23.874947,2834800.0
1990-06-01,1.052466,25.749945,26.624943,24.499947,25.999945,3572900.0
1990-07-02,1.144429,27.999939,28.374937,25.749945,25.749945,3162500.0
1990-08-01,1.019259,16.625,28.124939,16.25,27.874939,3831100.0
1990-09-04,0.844288,13.75,17.125,12.75,16.625,2235800.0
1990-10-01,1.028497,16.75,18.0,13.25,13.75,2015900.0
1990-11-01,1.076135,17.5,17.75,15.999999,16.75,1528300.0
1990-12-03,1.076135,17.5,20.0,17.0,18.0,1527500.0
1991-01-02,1.452783,23.625,24.0,16.375,17.25,3589000.0
1991-02-01,1.637263,26.625,27.0,22.625,23.25,4118300.0
1991-03-01,1.723439,28.0,28.375,25.25,26.375,2422500.0
1991-04-01,1.446457,23.5,29.75,23.0,28.125,3490700.0
1991-05-01,1.578837,25.625,26.25,21.875,23.875,2986700.0
1991-06-03,1.601942,26.0,27.375,23.875,25.5,2767300.0
1991-07-01,1.663555,27.0,27.375,24.625,26.125,1981000.0
1991-08-01,1.503335,24.375,27.0,23.625,27.0,2506200.0
1991-09-03,1.503335,24.375,25.125,22.125,24.375,3007200.0
1991-10-01,1.742326,28.25,28.75,24.375,24.375,2105300.0
1991-11-01,1.782401,28.875,30.25,25.75,28.125,2612300.0
1991-12-02,2.106473,34.125,35.0,28.25,28.5,3416100.0
1992-01-02,2.021597,32.75,38.625,32.375,33.625,3217800.0
1992-02-03,2.432089,39.375,40.875,32.375,32.75,5135900.0
1992-03-02,2.323996,37.625,41.5,36.25,39.5,2445800.0
1992-04-01,2.43981,39.5,40.5,35.0,37.625,2546500.0
1992-05-01,2.663717,43.125,45.0,38.125,39.875,4274800.0
1992-06-01,2.649936,42.875,47.125,41.0,42.875,2657300.0
1992-07-01,2.750371,22.25,44.375,20.0,42.5,2066100.0
1992-08-03,2.628618,21.25,22.875,20.875,22.125,1311200.0
1992-09-01,2.906943,23.5,25.0,21.375,21.375,1698500.0
1992-10-01,3.123417,25.25,26.0,22.125,23.75,1371700.0
1992-11-02,3.308967,26.75,27.125,24.5,25.25,1459600.0
1992-12-01,3.651193,29.5,29.875,25.875,26.875,1575300.0
1993-01-04,3.666664,29.625,30.375,27.25,29.5,2053400.0
1993-02-01,4.210003,34.0,36.0,29.875,30.0,3017800.0
1993-03-01,4.674342,37.75,37.75,34.0,34.5,1420100.0
1993-04-01,4.565996,36.875,43.0,33.25,37.5,4036700.0
1993-05-03,5.109581,41.25,42.0,36.0,36.75,2260700.0
1993-06-01,5.403769,43.625,45.0,40.0,41.375,2358000.0
1993-07-01,6.131497,33.0,46.875,31.25,43.875,2245900.0
1993-08-02,6.551397,35.25,37.625,32.75,33.0,1996700.0
1993-09-01,6.435238,34.625,35.625,31.25,35.25,2085700.0
1993-10-01,5.784744,31.125,35.875,29.75,34.5,3587100.0
1993-11-01,6.46032,34.75,35.875,30.625,31.0,3419500.0
1993-12-01,6.948329,37.375,37.625,32.875,34.875,2404400.0
1994-01-03,6.925091,37.25,37.875,35.5,37.25,1621900.0
1994-02-01,6.345971,34.125,39.0,33.5,37.125,2692200.0
1994-03-01,6.090272,32.75,36.0,31.25,34.5,2267400.0
1994-04-04,5.811328,31.25,34.375,29.5,32.0,2925300.0
1994-05-02,5.185612,27.875,31.625,24.124998,31.375,6417400.0
1994-06-01,4.883312,26.249998,28.375002,25.375,28.124998,3288000.0
1994-07-01,5.046089,27.125,29.625,25.625,26.125,5074500.0
1994-08-01,4.93166,26.500002,28.25,25.625,27.0,1943500.0
1994-09-01,4.187258,22.500002,27.0,21.625,26.625,5770300.0
1994-10-03,4.396621,23.625,23.75,20.75,22.625,5168400.0
