,Adj Close,Close,High,Low,Open,Volume
2000-10-18,9.930317,25.5,26.0,19.75,20.0,4552800.0
2000-11-01,9.759944,25.0625,25.25,22.1875,25.25,511800.0
2000-12-01,10.538793,27.0625,27.375,23.5,24.9375,259900.0
2001-01-02,12.306056,31.51,32.625,26.875,27.0625,401200.0
2001-02-01,12.497423,32.0,35.68,28.200001,31.530001,775300.0
2001-03-01,13.848706,35.459999,35.540001,31.700001,31.75,451000.0
2001-04-02,12.126896,30.950001,36.799999,28.799999,35.5,805300.0
2001-05-01,13.909687,35.5,37.0,30.799999,31.0,597500.0
2001-06-01,14.49742,37.0,38.470001,34.650002,35.5,534100.0
2001-07-02,13.837385,35.200001,38.799999,31.4,37.0,537600.0
2001-08-01,13.408898,34.110001,37.400002,33.299999,35.25,517100.0
2001-09-04,13.259517,33.73,34.57,30.9,34.099998,459600.0
2001-10-01,12.348314,31.299999,37.900002,29.809999,33.73,609900.0
2001-11-01,13.29515,33.700001,34.389999,28.6,31.299999,810300.0
2001-12-03,13.3346,33.799999,36.349998,32.299999,33.580002,611400.0
2002-01-02,13.187154,33.299999,33.950001,31.0,32.5,1305800.0
2002-02-01,12.260489,30.959999,33.169998,29.0,32.099998,876500.0
2002-03-01,12.509976,31.59,32.130001,29.4,30.969999,758100.0
2002-04-01,12.241642,30.799999,33.990002,30.469999,30.99,652100.0
2002-05-01,10.572328,26.6,31.450001,25.76,31.0,747700.0
2002-06-03,7.074715,17.799999,27.5,17.629999,26.6,1753800.0
2002-07-01,6.08016,15.2,19.5,13.2,18.049999,4603200.0
2002-08-01,7.348194,18.370001,18.75,15.0,15.2,10270800.0
2002-09-03,6.116161,15.29,18.35,13.59,18.200001,4368300.0
2002-10-01,6.666783,16.530001,17.450001,13.63,15.4,3896900.0
2002-11-01,7.094296,17.59,18.0,15.63,16.48,2943200.0
2002-12-02,7.763797,19.25,20.6,17.299999,17.74,3415900.0
2003-01-02,7.162571,17.65,19.879999,16.85,19.450001,2332000.0
2003-02-03,6.663424,16.42,18.15,15.91,17.77,2057100.0
2003-03-03,6.655307,16.4,16.75,13.55,16.59,3089800.0
2003-04-01,7.114478,17.4,17.93,15.69,16.5,5104100.0
2003-05-01,8.198004,20.049999,21.42,17.25,17.5,3726700.0
2003-06-02,8.848121,21.639999,22.6,19.9,20.1,3181900.0
2003-07-01,9.45929,23.0,23.549999,20.99,21.48,2562000.0
2003-08-01,10.57384,25.709999,26.35,20.860001,22.65,4229500.0
2003-09-02,9.845886,23.940001,26.549999,23.5,25.66,3026000.0
2003-10-01,10.356954,25.049999,26.049999,23.08,24.030001,2629200.0
2003-11-03,11.212798,27.120001,27.540001,24.84,25.190001,2414900.0
2003-12-01,11.899127,28.780001,28.9,25.700001,27.25,1975300.0
2004-01-02,12.705965,30.59,30.74,28.07,28.780001,3066000.0
2004-02-02,13.723605,33.040001,34.950001,29.93,30.5,3779700.0
2004-03-01,15.231373,36.669998,36.75,33.0,33.0,3505600.0
2004-04-01,14.418311,34.59,37.09,34.220001,36.669998,2403800.0
2004-05-03,14.380795,34.5,35.720001,31.360001,34.59,2453200.0
2004-06-01,16.048134,38.5,38.5,34.0,34.5,2779000.0
2004-07-01,15.173905,36.259998,38.099998,35.549999,37.900002,2546800.0
2004-08-02,15.316187,36.599998,36.830002,35.099998,36.0,2454500.0
2004-09-01,15.240861,36.419998,37.5,34.150002,36.48,2364300.0
2004-10-01,17.960693,42.75,42.790001,35.25,36.509998,3516200.0
2004-11-01,19.334528,46.02,46.650002,41.560001,42.75,3382700.0
2004-12-01,23.338398,55.549999,56.439999,45.75,46.02,4788600.0
2005-01-03,22.815676,54.130001,59.290001,50.0,55.509998,7931400.0
2005-02-01,24.77564,58.779999,59.639999,54.150002,54.700001,3814400.0
2005-03-01,27.186607,64.5,65.019997,57.799999,58.759998,3875500.0
2005-04-01,24.777081,58.619999,65.599998,55.509998,64.5,4597400.0
2005-05-02,24.092352,57.0,62.209999,56.02,58.869999,3895100.0
2005-06-01,26.573441,62.869999,68.800003,57.310001,57.34,4750900.0
2005-07-01,28.554945,67.370003,69.230003,59.950001,62.77,3482600.0
2005-08-01,27.058744,63.84,68.910004,61.900002,67.370003,3439300.0
2005-09-01,26.596745,62.75,66.279999,55.599998,63.049999,4442700.0
2005-10-03,26.782028,63.009998,63.169998,56.380001,62.43,5127400.0
2005-11-01,31.142979,73.269997,74.949997,62.619999,63.009998,4101200.0
2005-12-01,32.953667,77.529999,79.849998,73.599998,73.949997,2998800.0
2006-01-03,36.053093,84.610001,85.910004,78.190002,78.300003,3268400.0
2006-02-01,35.742031,83.879997,87.949997,79.480003,85.0,2726700.0
2006-03-01,36.112747,84.75,88.360001,79.57,84.0,3657500.0
2006-04-03,35.620258,83.400002,89.760002,82.129997,85.449997,3832400.0
2006-05-01,35.944859,84.160004,89.18,79.25,83.900002,5008900.0
2006-06-01,35.957672,84.190002,85.239998,75.809998,84.080002,4477000.0
2006-07-03,36.808487,42.990002,87.709999,42.77,84.230003,3683900.0
2006-08-01,40.618622,47.439999,47.580002,42.099998,42.900002,2843300.0
2006-09-01,40.25045,47.009998,48.450001,43.869999,47.450001,2581900.0
2006-10-02,37.941082,44.220001,48.09,42.75,46.810001,5499900.0
2006-11-01,41.244408,48.07,49.439999,43.549999,44.049999,3465300.0
2006-12-01,45.071121,52.529999,53.490002,47.119999,48.970001,2716700.0
2007-01-03,47.380367,55.09,56.240002,49.099998,52.0,3804500.0
2007-02-01,45.333439,52.709999,57.080002,51.040001,55.240002,2894200.0
2007-03-01,47.268559,54.959999,55.900002,50.009998,51.389999,3018300.0
2007-04-02,50.850124,58.990002,60.459999,54.34,55.009998,3211400.0
2007-05-01,53.099976,61.599998,63.900002,56.799999,58.84,3046000.0
2007-06-01,58.220333,67.540001,68.809998,59.18,62.470001,4444300.0
2007-07-02,55.658142,64.449997,70.75,63.049999,68.290001,4277500.0
2007-08-01,60.226517,69.739998,70.879997,58.5,65.739998,4259800.0
2007-09-04,74.0439,85.739998,86.900002,69.220001,69.790001,4596800.0
2007-10-01,84.486519,97.629997,98.699997,82.510002,86.290001,5414200.0
2007-11-01,85.992279,99.370003,100.900002,87.5,96.199997,4938400.0
2007-12-03,96.653694,111.690002,116.25,96.269997,99.57,3987900.0
2008-01-02,96.718697,111.589996,129.279999,93.220001,112.919998,10360000.0
2008-02-01,100.263634,115.68,123.800003,98.57,111.330002,6754600.0
2008-03-03,96.640694,111.5,119.089996,90.5,115.480003,9109800.0
2008-04-01,98.977959,114.019997,132.360001,104.599998,113.040001,8606200.0
2008-05-01,110.592812,127.400002,128.449997,108.110001,113.5,5782500.0
2008-06-02,109.75946,126.440002,145.800003,122.400002,127.459999,8798800.0
2008-07-01,103.593102,119.110001,126.910004,110.029999,123.389999,7330500.0
2008-08-01,99.366226,114.25,121.690002,103.5,119.510002,6194000.0
2008-09-02,86.08551,98.980003,121.32,92.669998,111.82,9051400.0
2008-10-01,77.576355,88.980003,100.690002,68.019997,99.510002,15977400.0
2008-11-03,69.049751,79.199997,94.949997,63.470001,88.379997,8190900.0
2008-12-01,61.333965,70.349998,84.389999,65.599998,76.800003,7223000.0
2009-01-02,66.529526,76.059998,87.32,69.739998,70.480003,10272600.0
2009-02-02,66.713211,76.269997,85.769997,72.809998,75.43,8051400.0
2009-03-02,72.687401,83.099998,87.919998,69.620003,74.599998,7408800.0
2009-04-01,74.490662,84.889999,85.75,76.980003,81.220001,6281400.0
2009-05-01,72.086319,82.150002,93.349998,78.25,85.07,8403200.0
2009-06-01,65.460724,74.339996,87.400002,73.550003,83.980003,8275000.0
2009-07-01,73.966927,84.0,86.099998,70.080002,75.150002,6136200.0
2009-08-03,73.861252,83.879997,87.279999,78.529999,86.559998,4735600.0
2009-09-01,68.155235,77.400002,84.360001,75.849998,83.639999,6456700.0
2009-10-01,59.363934,67.18,78.699997,66.57,76.709999,8502900.0
2009-11-02,71.355125,80.75,81.0,67.040001,67.82,7475400.0
2009-12-01,72.238785,81.75,85.0,79.959999,81.190002,3947800.0
2010-01-04,67.260757,75.879997,87.059998,75.5,82.360001,5650900.0
2010-02-01,62.62484,70.650002,78.589996,70.529999,76.389999,6360100.0
2010-03-01,63.307369,71.419998,74.800003,70.050003,71.07,7362400.0
2010-04-01,56.110016,63.060001,72.019997,62.189999,72.019997,10675000.0
2010-05-03,45.2635,50.869999,63.799999,48.16,63.68,14225000.0
2010-06-01,41.125992,46.220001,51.700001,45.299999,50.470001,7993100.0
2010-07-01,51.769375,57.84,58.880001,44.610001,46.540001,8388600.0
2010-08-02,47.124096,52.650002,62.290001,51.419998,58.599998,7023400.0
2010-09-01,42.899483,47.93,59.43,47.169998,53.09,8703900.0
2010-10-01,53.490456,59.419998,60.540001,47.07,48.119999,9272700.0
2010-11-01,53.940563,59.919998,64.0,57.560001,59.759998,5594400.0
2010-12-01,62.690601,69.639999,69.82,59.93,61.310001,4636700.0
2011-01-03,66.326263,73.379997,75.339996,68.25,69.989998,6550100.0
2011-02-01,64.979492,71.889999,76.690002,69.25,74.43,4620600.0
2011-03-01,65.313927,72.260002,74.43,64.290001,72.220001,3714000.0
2011-04-01,61.734436,68.040001,74.459999,65.75,72.5,5748600.0
2011-05-02,64.456413,71.040001,71.269997,62.299999,68.25,4716500.0
2011-06-01,65.817398,72.540001,72.860001,64.650002,70.870003,4863700.0
2011-07-01,66.924309,73.480003,77.089996,72.0,72.470001,4710200.0
2011-08-01,62.780243,68.93,74.5,63.029999,74.370003,5875600.0
2011-09-01,54.683388,60.040001,70.879997,59.990002,69.029999,5566800.0
2011-10-03,66.575203,72.75,78.709999,58.889999,59.27,6171700.0
2011-11-01,67.215782,73.449997,75.5,67.5,70.919998,3770600.0
2011-12-01,64.122673,70.07,74.330002,67.089996,73.559998,3259700.0
2012-01-03,75.400284,82.050003,82.949997,71.290001,71.620003,5456300.0
2012-02-01,71.108757,77.379997,83.949997,76.330002,82.690002,3365400.0
2012-03-01,73.295876,79.760002,82.139999,77.019997,77.82,3314300.0
2012-04-02,70.264717,76.18,83.269997,74.150002,80.099998,3678200.0
2012-05-01,71.205513,77.199997,77.809998,69.699997,76.07,3852800.0
2012-06-01,76.352234,82.779999,82.790001,74.769997,75.349998,3382300.0
2012-07-02,79.256538,85.620003,87.769997,81.489998,82.980003,3227100.0
2012-08-01,80.635796,87.110001,89.730003,84.860001,86.279999,2876700.0
