,Adj Close,Close,High,Low,Open,Volume
1990-02-01,0.465635,98.75,100.5,92.25,92.5,77297000.0
1990-03-01,0.522219,110.75,117.0,98.5,98.5,79749600.0
1990-04-02,0.546974,58.0,122.0,55.625,109.75,62612800.0
1990-05-01,0.688433,73.0,78.75,56.75,58.75,77462100.0
1990-06-01,0.716725,76.0,77.75,71.0,73.25,57184100.0
1990-07-02,0.627134,66.5,80.75,65.75,76.0,75773800.0
1990-08-01,0.579981,61.5,67.25,50.75,66.25,88022900.0
1990-09-04,0.594127,63.0,63.5,54.5,61.0,72041600.0
1990-10-01,0.6012,63.75,68.5,53.5,64.75,98229500.0
1990-11-01,0.68136,72.25,74.25,62.75,63.0,63108800.0
1990-12-03,0.709652,75.25,76.75,70.5,73.25,49183600.0
1991-01-02,0.925376,98.125,99.5,73.0,75.0,105961100.0
1991-02-01,0.978423,103.75,109.0,97.25,99.0,96660300.0
1991-03-01,1.000821,106.125,113.0,93.0,103.0,98149700.0
1991-04-01,0.933628,99.0,117.5,96.0,106.0,95496000.0
1991-05-01,1.035007,109.75,112.5,96.625,98.5,70202000.0
1991-06-03,0.963688,68.125,114.75,65.5,109.5,67844600.0
1991-07-01,1.039722,73.5,74.0,60.5,68.75,77222400.0
1991-08-01,1.205936,85.25,86.75,71.75,73.75,59235300.0
1991-09-03,1.258983,89.0,90.0,80.0,85.0,43088100.0
1991-10-01,1.327944,93.875,95.25,86.25,89.0,47956400.0
1991-11-01,1.375687,97.25,101.75,90.75,93.5,45387300.0
1991-12-02,1.573729,111.25,112.0,96.0,96.25,40441200.0
1992-01-02,1.701042,120.25,133.25,109.5,110.75,69039400.0
1992-02-03,1.747016,123.5,129.0,113.0,118.25,76436200.0
1992-03-02,1.676287,118.5,130.25,116.75,123.75,58679800.0
1992-04-01,1.559583,110.25,129.25,107.0,117.25,106419800.0
1992-05-01,1.711651,121.0,122.25,109.25,110.5,57956800.0
1992-06-01,1.485317,70.0,124.5,65.75,120.5,75038100.0
1992-07-01,1.543669,72.75,74.75,65.5,70.25,58204900.0
1992-08-03,1.580802,74.5,75.0,68.0,72.75,43570200.0
1992-09-01,1.708115,80.5,82.0,73.25,74.0,50607800.0
1992-10-01,1.88317,88.75,90.25,75.75,80.0,53259900.0
1992-11-02,1.976003,93.125,95.0,87.25,89.0,63120600.0
1992-12-01,1.811557,85.375,94.0,85.25,92.75,52917200.0
1993-01-04,1.835428,86.5,94.0,84.5,85.0,72537700.0
1993-02-01,1.769119,83.375,90.25,76.75,86.25,83061800.0
1993-03-01,1.962741,92.5,94.25,81.25,83.75,59896400.0
1993-04-01,1.814209,85.5,94.75,79.75,92.5,64069400.0
1993-05-03,1.965393,92.625,95.5,84.5,85.5,66979200.0
1993-06-01,1.867256,88.0,98.0,86.75,93.0,57846900.0
1993-07-01,1.570193,74.0,88.5,72.0,88.25,106730900.0
1993-08-02,1.594064,75.125,79.25,70.375,74.75,89295500.0
1993-09-01,1.750553,82.5,84.25,73.25,75.25,57183800.0
1993-10-01,1.700158,80.125,85.75,78.0,82.5,67171200.0
1993-11-01,1.697506,80.0,83.0,76.0,80.25,48127000.0
1993-12-01,1.710767,80.625,86.5,79.25,80.5,43535400.0
1994-01-03,1.806252,85.125,87.0,79.25,80.5,61724600.0
1994-02-01,1.750553,82.5,85.75,78.0,85.0,74958600.0
1994-03-01,1.798295,84.75,89.25,79.75,83.0,63035100.0
1994-04-04,1.962741,92.5,95.25,82.0,82.5,101490600.0
1994-05-02,2.281023,53.75,99.25,48.5,92.75,81232900.0
1994-06-01,2.190843,51.625,54.625,49.25,53.5,112728200.0
1994-07-01,2.185539,51.5,51.75,46.875,51.625,79751500.0
1994-08-01,2.466688,58.125,59.25,51.5,51.625,58781100.0
1994-09-01,2.381813,56.125,58.25,54.875,57.0,47593200.0
1994-10-03,2.673571,63.0,63.75,53.875,56.125,60337500.0
1994-11-01,2.668267,62.875,65.125,60.75,62.75,50724800.0
1994-12-01,2.594001,61.125,64.25,58.75,62.625,51430400.0
1995-01-03,2.519735,59.375,65.25,58.25,61.5,55788300.0
1995-02-01,2.673571,63.0,63.25,58.375,59.375,55326400.0
1995-03-01,3.018377,71.125,74.125,62.75,63.125,64295800.0
1995-04-03,3.469277,81.75,82.125,68.75,71.0,73246000.0
1995-05-01,3.593938,84.6875,89.5,78.875,81.875,66036200.0
1995-06-01,3.835302,90.375,92.375,81.75,85.0,60169600.0
1995-07-03,3.840606,90.5,109.25,88.5,90.875,121614700.0
1995-08-01,3.925482,92.5,100.75,87.0,90.75,94326500.0
1995-09-01,3.840606,90.5,97.875,83.375,91.75,85874400.0
1995-10-02,4.243764,100.0,103.375,80.375,90.5,105458800.0
1995-11-01,3.697379,87.125,101.0,84.25,100.125,93544300.0
1995-12-01,3.723903,87.75,94.75,85.125,87.125,85297800.0
1996-01-02,3.925482,92.5,93.25,79.875,87.875,96608600.0
1996-02-01,4.188065,98.6875,103.625,92.0,92.25,84932600.0
1996-03-01,4.376381,103.125,107.0625,94.625,98.375,83450400.0
1996-04-01,4.806063,113.25,113.875,99.625,103.140602,65463000.0
1996-05-01,5.03947,118.75,120.0,109.625,112.875,56708500.0
1996-06-03,5.097821,120.125,125.875,116.25,118.75,66605100.0
1996-07-01,5.002337,117.875,122.875,107.5,120.25,101509800.0
1996-08-01,5.198611,122.5,126.125,117.375,117.875,53270500.0
1996-09-03,5.596464,131.875,138.625,120.625,122.0,69450400.0
1996-10-01,5.824566,137.25,139.125,130.875,131.75,59898400.0
1996-11-01,6.657404,156.875,158.0,136.5,137.25,81906000.0
1996-12-02,7.01282,82.625,159.5,76.375,157.5,71113800.0
1997-01-02,8.657278,102.0,103.25,80.75,83.125,75104400.0
1997-02-03,8.27534,97.5,103.5,94.0,102.625,72398100.0
1997-03-03,7.782002,91.6875,101.0,87.625,97.0,78573200.0
1997-04-01,10.312346,121.5,122.625,89.75,90.125,90802500.0
1997-05-01,10.524534,124.0,129.0625,114.875,122.0,65770100.0
1997-06-02,10.726113,126.375,134.9375,118.25,125.0,48022600.0
1997-07-01,11.999243,141.375,150.75,123.25,126.4375,78917500.0
1997-08-01,11.219451,132.1875,144.625,131.0,141.375,57472700.0
1997-09-02,11.230061,132.3125,140.25,130.625,133.125,57024100.0
1997-10-01,11.033786,130.0,139.625,123.5,132.5,68703800.0
1997-11-03,12.009851,141.5,142.25,129.0,131.625,49124300.0
1997-12-01,10.97013,129.25,146.625,118.0,141.9375,67425900.0
1998-01-02,12.662331,149.1875,150.125,124.375,129.625,76808900.0
1998-02-02,14.386359,84.75,160.0625,79.375,151.75,76292100.0
1998-03-02,15.192675,89.5,90.9375,79.25,85.875,51732000.0
1998-04-01,15.298769,90.125,99.125,86.625,89.8125,51116700.0
1998-05-01,14.396969,84.8125,91.0,81.875,90.1875,56473600.0
1998-06-01,18.396717,108.375,108.5625,83.125,83.875,59552800.0
1998-07-01,18.661951,109.9375,119.625,105.375,109.125,58318300.0
1998-08-03,16.285444,95.9375,113.75,95.75,109.125,70606100.0
1998-09-01,18.68317,110.0625,114.625,94.5,95.25,58628500.0
1998-10-01,17.97234,105.875,110.125,87.75,108.0625,77380500.0
1998-11-02,20.709568,122.0,130.265594,104.75,106.375,61680300.0
1998-12-01,23.54228,138.6875,144.0,120.125,120.25,51152500.0
1999-01-04,29.706347,175.0,175.125,136.0,139.609299,81688900.0
1999-02-01,25.483803,150.125,175.9375,143.984299,175.4375,87282900.0
1999-03-01,30.427788,89.625,180.375,87.875,149.5625,70789600.0
1999-04-01,27.605684,81.3125,95.625,79.875,91.25,58198000.0
1999-05-03,27.393496,80.6875,81.8125,75.5,81.4375,58290200.0
1999-06-01,30.618757,90.1875,90.25,76.125,80.625,42956400.0
1999-07-01,29.13344,85.8125,100.75,85.5,89.875,56944200.0
1999-08-02,31.425072,92.5625,96.375,81.625,85.6875,63403500.0
1999-09-01,30.746069,90.5625,97.875,88.8125,92.3125,48796600.0
1999-10-01,31.425072,92.5625,95.25,85.0625,90.1875,54369300.0
1999-11-01,30.91049,91.046799,94.5,84.375,93.25,72828600.0
1999-12-01,39.636753,116.75,119.9375,90.875,91.0625,57886100.0
2000-01-03,33.228672,97.875,118.625,94.875,117.375,67403400.0
2000-02-01,30.342913,89.375,110.0,88.125,98.5,69646200.0
2000-03-01,36.071995,106.25,115.0,88.9375,89.625,90976900.0
2000-04-03,23.680202,69.75,96.5,65.0,94.4375,122959400.0
2000-05-01,21.240038,62.5625,74.0,60.375,72.875,63609000.0
2000-06-01,27.160089,80.0,82.1875,63.8125,64.375,69063900.0
2000-07-03,23.701422,69.8125,82.875,67.25,79.6875,65223400.0
2000-08-01,23.701422,69.8125,74.875,68.125,69.9375,56172800.0
2000-09-01,20.47616,60.3125,72.0625,58.625,70.0,74979300.0
2000-10-02,23.383139,68.875,70.125,48.4375,60.5,116994900.0
2000-11-01,19.478876,57.375,72.375,57.0,68.5,103841100.0
2000-12-01,14.725861,43.375,60.625,40.3125,58.0625,107832200.0
2001-01-02,20.730787,61.0625,64.75,42.875,44.125,99401400.0
2001-02-01,20.030565,59.0,65.0625,53.875,60.8125,85342300.0
2001-03-01,18.566467,54.6875,61.125,49.75,58.5625,90297700.0
2001-04-02,23.0012,67.75,71.099998,51.0625,54.8125,107508700.0
2001-05-01,23.486687,69.18,72.150002,67.25,67.660004,83999400.0
2001-06-01,24.783581,73.0,76.150002,66.010002,69.599998,73498100.0
2001-07-02,22.471579,66.190002,73.150002,64.199997,72.050003,72106300.0
2001-08-01,19.368538,57.049999,67.540001,56.299999,66.800003,52686800.0
2001-09-04,17.372271,51.169998,59.080002,47.5,57.189999,108497700.0
2001-10-01,19.741991,58.150002,63.630001,50.41,50.939999,78938700.0
2001-11-01,21.799366,64.209999,68.339996,59.599998,60.080002,65676300.0
2001-12-03,22.491949,66.25,69.889999,63.799999,63.830002,51004700.0
2002-01-02,21.629616,63.709999,70.620003,61.330002,66.650002,68080000.0
2002-02-01,19.806496,58.34,64.5,57.150002,64.150002,63117200.0
2002-03-01,20.475313,60.310001,65.0,58.310001,59.049999,55857200.0
2002-04-01,17.742327,52.259998,60.400002,51.439999,59.830002,67948300.0
2002-05-01,17.284002,50.91,56.439999,48.349998,52.16,67578800.0
2002-06-03,18.570711,54.700001,56.439999,49.169998,50.990002,96181400.0
2002-07-01,16.289263,47.98,54.93,41.41,54.119999,114821000.0
2002-08-01,16.662716,49.080002,53.450001,43.799999,47.580002,80631600.0
2002-09-03,14.849779,43.740002,51.099998,43.110001,48.52,90564100.0
2002-10-01,18.153126,53.470001,54.07,43.189999,44.32,112232300.0
2002-11-01,19.582424,57.68,58.639999,51.900002,52.43,79219500.0
2002-12-02,17.552208,51.700001,58.959999,51.259998,58.650002,63170400.0
2003-01-02,16.112722,47.459999,57.32,47.029999,52.299999,86929500.0
2003-02-03,16.144096,23.700001,49.099998,23.299999,47.93,73871300.0
2003-03-03,16.491501,24.209999,26.799999,22.549999,24.02,68727900.0
