,Adj Close,Close,High,Low,Open,Volume
1999-06-01,1.348551,31.75,34.0,30.375,32.125,10908300.0
1999-07-01,1.162727,27.375,32.875,26.8125,31.6875,5503000.0
1999-08-02,1.168036,27.5,28.875,24.8125,27.5,4048000.0
1999-09-01,1.179446,27.0,29.625,26.75,27.4375,4613800.0
1999-10-01,0.947379,21.6875,28.375,19.0,27.25,6168900.0
1999-11-01,0.930998,21.3125,23.75,19.25,21.6875,3259400.0
1999-12-01,0.798365,17.625,22.375,16.0,21.3125,4402300.0
2000-01-03,0.778548,17.1875,20.5,17.125,17.75,3515000.0
2000-02-01,0.815352,18.0,20.125,16.875,17.375,3782700.0
2000-03-01,0.804829,17.0,18.5,15.75,18.0,6135300.0
2000-04-03,0.982365,20.75,20.875,16.9375,17.0,5061500.0
2000-05-01,1.313766,27.75,27.875,20.625,20.625,4360200.0
2000-06-01,1.358098,27.9375,31.9375,26.625,28.0,5594100.0
2000-07-03,1.379365,28.375,30.125,24.875,28.0,3668600.0
2000-08-01,1.743955,35.875,37.25,28.1875,28.1875,3912100.0
2000-09-01,1.604515,32.25,37.0625,30.375,36.0,2292300.0
2000-10-02,1.778648,35.75,36.1875,30.8125,32.4375,2707500.0
2000-11-01,1.959001,39.375,39.4375,33.375,35.8125,3877200.0
2000-12-01,2.47209,48.75,50.25,38.25,39.0,5427500.0
2001-01-02,2.68507,52.950001,53.8125,44.1875,49.0,4988600.0
2001-02-01,2.865088,56.5,56.529999,52.650002,52.950001,3093700.0
2001-03-01,2.883361,56.099998,60.419998,51.110001,56.470001,4120100.0
2001-04-02,3.010311,58.57,60.400002,53.52,56.349998,3925200.0
2001-05-01,3.057082,59.48,62.700001,57.299999,58.599998,3327300.0
2001-06-01,2.845324,54.599998,60.189999,52.330002,59.400002,4121700.0
2001-07-02,2.798944,53.709999,56.580002,47.900002,54.950001,4018800.0
2001-08-01,3.009478,57.75,59.0,51.34,53.810001,2498700.0
2001-09-04,3.022409,57.139999,59.650002,53.509998,57.759998,4007700.0
2001-10-01,2.964225,56.040001,61.23,55.75,57.389999,3417900.0
2001-11-01,3.034575,57.369999,59.150002,54.720001,56.5,3357900.0
2001-12-03,3.024209,56.299999,57.700001,55.580002,57.310001,3397000.0
2002-01-02,3.209529,59.75,60.400002,56.02,56.349998,4374200.0
2002-02-01,3.526453,65.650002,66.989998,58.5,59.900002,4607700.0
2002-03-01,3.524031,64.75,67.150002,63.599998,65.790001,3200800.0
2002-04-01,3.766223,69.199997,70.099998,63.560001,65.349998,3537400.0
2002-05-01,3.847861,70.699997,71.900002,66.690002,69.449997,3405600.0
2002-06-03,2.967182,53.75,71.300003,50.380001,71.300003,8443000.0
2002-07-01,3.015761,54.630001,56.75,49.349998,54.400002,6014500.0
2002-08-01,3.248168,58.84,60.09,53.0,54.509998,4439000.0
2002-09-03,2.262703,40.32,60.400002,39.200001,59.349998,20884100.0
2002-10-01,2.27561,40.549999,44.09,34.830002,40.32,7890700.0
2002-11-01,2.166179,38.599998,44.599998,37.560001,40.25,7732800.0
2002-12-02,2.417006,42.110001,43.459999,38.240002,39.200001,7189600.0
2003-01-02,2.431355,42.360001,47.32,39.200001,42.200001,9614900.0
2003-02-03,2.290731,39.91,43.07,38.43,42.389999,5153100.0
2003-03-03,1.897036,32.259998,40.880001,31.129999,40.16,11448900.0
2003-04-01,1.656525,28.17,35.169998,27.6,32.27,13647500.0
2003-05-01,2.004648,34.09,35.119999,27.52,27.9,18236000.0
2003-06-02,2.24479,37.209999,38.77,34.330002,34.540001,13532300.0
2003-07-01,2.142837,35.52,38.349998,34.75,37.0,9922100.0
2003-08-01,2.060188,34.150002,36.040001,31.1,36.02,9895200.0
2003-09-02,2.45173,39.540001,40.540001,33.25,35.900002,15644100.0
2003-10-01,2.978163,48.029999,51.73,39.799999,40.0,11639900.0
2003-11-03,3.422749,55.200001,55.349998,47.700001,48.040001,5839200.0
2003-12-01,3.664675,58.150002,60.139999,55.0,55.25,7401800.0
2004-01-02,3.722024,59.060001,60.400002,56.349998,58.150002,6294900.0
2004-02-02,3.89029,61.73,63.16,58.700001,59.07,5118600.0
2004-03-01,3.873013,60.5,63.459999,57.18,61.93,6955800.0
2004-04-01,4.146364,64.769997,65.849998,57.759998,60.619999,9082700.0
2004-05-03,3.597741,56.200001,65.650002,53.369999,64.769997,13644200.0
2004-06-01,4.397738,67.589996,70.5,56.200001,56.529999,18679100.0
2004-07-01,4.681421,71.949997,73.660004,64.800003,67.599998,14144600.0
2004-08-02,4.912402,75.5,75.510002,69.360001,71.970001,8879300.0
2004-09-01,4.483019,68.040001,76.190002,65.620003,75.379997,9547900.0
2004-10-01,4.537047,68.860001,70.75,66.360001,68.349998,6276400.0
2004-11-01,4.983109,75.629997,78.779999,68.82,68.860001,11323900.0
2004-12-01,5.244002,78.599998,80.540001,73.849998,75.650002,7316200.0
2005-01-03,5.365428,80.419998,81.610001,76.849998,78.949997,7014400.0
2005-02-01,5.467506,81.949997,89.0,79.440002,80.400002,8367800.0
2005-03-01,5.437644,80.589996,85.25,77.400002,82.25,7262900.0
2005-04-01,5.260865,77.970001,81.220001,76.480003,80.839996,6017500.0
2005-05-02,5.594182,82.910004,83.400002,77.709999,77.919998,5665900.0
2005-06-01,5.378234,78.800003,85.150002,77.709999,83.199997,5113200.0
2005-07-01,5.686049,83.309998,84.610001,76.580002,78.879997,3878000.0
2005-08-01,5.729048,83.940002,85.739998,81.650002,83.900002,4208100.0
2005-09-01,5.737423,83.019997,84.860001,78.25,84.349998,7177900.0
2005-10-03,5.874259,85.0,85.339996,77.75,82.5,5669700.0
2005-11-01,6.152076,89.019997,89.93,84.620003,85.0,4785600.0
2005-12-01,6.677618,95.330002,102.379997,89.5,89.75,6570000.0
2006-01-03,7.083893,101.129997,104.25,94.959999,95.330002,4350200.0
2006-02-01,7.435531,106.150002,107.150002,98.440002,101.300003,6298000.0
2006-03-01,7.478882,105.5,109.93,103.599998,105.900002,5729100.0
2006-04-03,7.773075,109.650002,112.650002,103.629997,106.25,5778200.0
2006-05-01,7.793633,109.940002,115.599998,108.139999,109.400002,4856000.0
2006-06-01,8.269125,115.300003,116.110001,106.400002,110.379997,5066400.0
2006-07-03,9.092451,126.779999,130.0,113.559998,114.800003,7181500.0
2006-08-01,9.333426,65.07,129.100006,63.459999,126.779999,5404900.0
2006-09-01,8.992193,61.970001,66.260002,59.299999,64.870003,6908900.0
2006-10-02,9.164868,63.16,67.089996,60.869999,61.970001,6432200.0
2006-11-01,9.321583,64.239998,66.080002,63.080002,63.470001,5280700.0
2006-12-01,9.609493,65.470001,66.339996,63.560001,64.589996,3920600.0
2007-01-03,9.467119,64.5,66.190002,62.0,65.370003,4379100.0
2007-02-01,8.946061,60.950001,65.099998,60.049999,64.449997,5190800.0
2007-03-01,9.273746,62.41,63.360001,58.549999,59.73,7192400.0
2007-04-02,9.548644,64.260002,65.75,61.93,63.0,5573300.0
2007-05-01,9.664548,65.040001,67.599998,63.41,64.550003,4597200.0
2007-06-01,9.803585,65.199997,66.529999,60.150002,65.800003,6047800.0
2007-07-02,9.197628,61.169998,67.019997,60.34,65.989998,5989600.0
2007-08-01,9.941919,66.120003,66.980003,60.869999,60.869999,6957300.0
2007-09-04,9.686769,63.59,66.889999,62.5,66.290001,4724300.0
2007-10-01,9.814729,64.43,64.730003,60.68,63.880001,5800900.0
2007-11-01,10.666262,70.019997,70.120003,61.73,64.089996,6362800.0
2007-12-03,10.170067,65.959999,71.720001,65.860001,69.5,5882800.0
2008-01-02,9.752225,63.25,72.0,60.889999,66.050003,8493900.0
2008-02-01,9.824692,63.720001,67.580002,61.610001,63.040001,6046700.0
2008-03-03,9.224167,59.029999,65.010002,58.860001,63.720001,7533400.0
2008-04-01,8.414727,53.849998,60.799999,53.169998,59.200001,9050400.0
2008-05-01,8.581928,54.919998,55.860001,53.52,53.669998,9473600.0
2008-06-02,7.406986,46.669998,55.48,46.400002,54.75,7059800.0
2008-07-01,8.860768,55.830002,56.830002,45.610001,46.52,8008200.0
2008-08-01,8.408444,52.98,57.73,52.860001,55.66,5598700.0
2008-09-02,7.843928,48.619999,54.990002,46.799999,53.299999,7459100.0
2008-10-01,7.898781,48.959999,50.0,37.209999,48.369999,6925500.0
2008-11-03,6.627491,41.080002,49.32,38.73,48.939999,6904400.0
2008-12-01,6.637729,40.310001,42.880001,38.360001,40.299999,5105700.0
2009-01-02,6.286988,38.18,41.16,36.900002,40.419998,6669500.0
2009-02-02,5.52952,33.580002,40.98,32.5,37.93,7212400.0
2009-03-02,6.057941,35.84,38.509998,31.549999,33.490002,7045800.0
2009-04-01,6.41966,37.98,42.060001,35.970001,35.970001,6556900.0
2009-05-01,6.756025,39.970001,41.310001,37.610001,38.049999,5284400.0
2009-06-01,6.67033,38.619999,40.599998,36.32,40.290001,7250300.0
2009-07-01,7.514916,43.509998,44.040001,37.91,38.77,6759300.0
2009-08-03,7.894894,45.709999,46.950001,43.139999,43.799999,5804700.0
2009-09-01,7.832223,44.52,46.610001,43.740002,45.68,6936700.0
2009-10-01,8.52889,48.48,50.0,43.82,44.5,6645800.0
2009-11-02,8.78926,49.959999,51.779999,47.869999,48.459999,6516300.0
2009-12-01,9.476921,52.970001,54.259998,50.220001,50.34,5792400.0
2010-01-04,9.518071,53.200001,55.150002,52.759998,53.330002,4166600.0
2010-02-01,9.446507,52.799999,54.27,50.759998,53.59,5809300.0
2010-03-01,9.81906,53.98,54.860001,52.09,53.0,4553200.0
2010-04-01,9.717196,53.419998,56.23,53.139999,54.220001,4236400.0
2010-05-03,9.484362,52.139999,54.68,39.0,53.689999,6206300.0
2010-06-01,9.649319,52.119999,54.110001,50.439999,51.900002,7171800.0
2010-07-01,10.704597,57.82,58.34,51.470001,52.209999,5816400.0
2010-08-02,10.097349,54.540001,58.599998,54.27,58.459999,6488500.0
2010-09-01,11.170036,59.389999,60.439999,55.07,55.07,4472100.0
2010-10-01,12.211997,64.93,65.120003,58.099998,59.900002,5755800.0
2010-11-01,11.638354,30.940001,66.82,30.940001,65.330002,5960500.0
2010-12-01,12.457429,32.619999,32.950001,31.120001,31.26,4517300.0
2011-01-03,12.148094,31.809999,34.490002,31.540001,32.889999,4902900.0
2011-02-01,13.106652,34.32,34.669998,31.66,32.02,5437900.0
2011-03-01,13.779206,35.529999,36.110001,32.299999,34.48,6418300.0
2011-04-01,14.391961,37.110001,37.450001,35.580002,35.91,4574000.0
2011-05-02,15.427437,39.779999,39.869999,37.0,37.279999,4147600.0
2011-06-01,14.570799,37.049999,39.82,36.580002,39.75,5045500.0
2011-07-01,13.843243,35.200001,38.639999,34.919998,37.130001,5538400.0
2011-08-01,14.775301,37.57,37.75,31.82,35.630001,9198600.0
2011-09-01,14.949347,37.48,38.43,35.970001,37.509998,5850000.0
2011-10-03,15.427981,38.68,39.939999,36.689999,37.5,5414100.0
2011-11-01,16.696362,41.860001,41.880001,37.68,37.869999,8618600.0
2011-12-01,16.746128,41.419998,42.18,39.939999,41.799999,4332000.0
2012-01-03,15.860711,39.23,41.900002,38.950001,41.869999,4662800.0
2012-02-01,16.952324,41.93,42.07,39.18,39.5,6373800.0
2012-03-01,16.979158,41.439999,42.810001,40.310001,41.959999,4163600.0
2012-04-02,16.729225,40.830002,42.150002,39.450001,41.470001,4566800.0
2012-05-01,17.143051,41.84,42.380001,40.0,40.91,8168300.0
2012-06-01,18.651167,44.869999,44.900002,40.150002,41.459999,5137800.0
2012-07-02,19.233107,46.27,46.650002,44.669998,44.869999,3352000.0
2012-08-01,19.162441,46.099998,46.93,44.939999,46.549999,5250000.0
2012-09-04,18.248692,43.34,46.650002,43.110001,46.099998,5208300.0
2012-10-01,17.53289,41.639999,44.509998,40.400002,43.32,4725200.0
2012-11-01,18.408693,43.720001,43.900002,39.700001,41.57,4940800.0
2012-12-03,17.684547,41.43,44.330002,40.790001,43.970001,4741300.0
2013-01-02,18.773026,43.98,44.57,41.5,42.049999,3786900.0
2013-02-01,18.64497,43.68,45.169998,43.290001,44.32,7024300.0
2013-03-01,19.245777,44.490002,44.689999,42.459999,43.639999,4448900.0
2013-04-01,20.513254,47.419998,47.529999,44.009998,44.490002,4048600.0
2013-05-01,20.811739,48.110001,50.150002,47.099998,47.330002,4219100.0
2013-06-03,21.201908,48.369999,49.400002,46.049999,48.16,4229300.0
2013-07-01,21.666536,49.43,52.93,48.209999,48.880001,3288300.0
2013-08-01,20.877546,47.630001,51.0,47.220001,49.830002,3215200.0
2013-09-03,21.66671,48.779999,50.73,46.82,47.900002,2703700.0
2013-10-01,22.817116,51.369999,51.990002,48.580002,48.919998,3247300.0
2013-11-01,22.408478,50.450001,52.57,50.23,51.470001,3111100.0
2013-12-02,22.484381,49.990002,51.459999,48.009998,50.389999,4417600.0
2014-01-02,21.814211,48.5,50.07,47.580002,50.049999,4955300.0
2014-02-03,22.862194,50.830002,50.939999,46.549999,48.43,5666400.0
2014-03-03,24.327286,53.419998,56.77,50.540001,50.709999,8256200.0
2014-04-01,25.69803,56.43,56.720001,53.060001,53.5,4911800.0
2014-05-01,27.1553,59.630001,60.07,55.560001,56.470001,5183100.0
2014-06-02,27.792347,60.349998,62.639999,58.720001,59.810001,3896300.0
2014-07-01,25.720009,55.849998,63.389999,55.830002,60.610001,6908600.0
2014-08-01,26.926571,58.470001,58.689999,55.220001,55.610001,3680300.0
2014-09-02,27.482954,59.0,59.450001,56.740002,58.639999,3986600.0
2014-10-01,29.304281,62.91,63.18,56.27,58.990002,4790500.0
2014-11-03,30.701721,65.910004,66.089996,62.689999,62.77,3351800.0
2014-12-01,30.246374,64.269997,67.589996,62.880001,65.870003,3729300.0
2015-01-02,31.978235,67.949997,70.699997,62.700001,64.419998,4665800.0
2015-02-02,35.587849,75.620003,76.099998,67.440002,68.120003,4540200.0
2015-03-02,32.726818,68.910004,76.230003,67.419998,75.669998,6860300.0
2015-04-01,34.811722,73.300003,77.620003,68.650002,69.040001,6464800.0
2015-05-01,36.450199,76.75,77.68,72.800003,73.360001,7968000.0
2015-06-01,35.790016,74.660004,77.959999,70.779999,76.760002,7892400.0
2015-07-01,41.125439,85.790001,85.959999,74.190002,74.839996,6157900.0
2015-08-03,40.147518,83.75,88.279999,71.389999,86.050003,6508700.0
2015-09-01,42.812256,44.27,44.439999,40.59,41.23,7397000.0
