,Adj Close,Close,High,Low,Open,Volume
1990-02-01,0.254913,15.25,15.375,13.5,13.5,1385100.0
1990-03-01,0.284166,17.0,17.875,15.25,15.25,3149600.0
1990-04-02,0.253319,15.125001,17.375,14.749999,16.875,2229100.0
1990-05-01,0.263787,15.75,17.125,14.875001,14.875001,1942800.0
1990-06-01,0.255413,15.25,16.625,15.25,15.875,1438300.0
1990-07-02,0.228655,13.625,16.5,13.375,15.375,2419700.0
1990-08-01,0.211873,12.625001,14.25,10.625,13.75,1352400.0
1990-09-04,0.190896,11.375,13.75,11.0,12.625001,786100.0
1990-10-01,0.212516,12.625001,13.625,11.625,11.625,964800.0
1990-11-01,0.199891,11.875,13.5,11.875,12.625001,775500.0
1990-12-03,0.191475,11.375,13.0,11.375,11.875,1512000.0
1991-01-02,0.270115,16.0,16.0,11.375,11.5,1228300.0
1991-02-01,0.3081,18.25,18.5,16.0,16.0,3887400.0
1991-03-01,0.341864,20.25,20.5,17.25,18.125,2400800.0
1991-04-01,0.306633,18.125,22.0,17.75,20.375,3852100.0
1991-05-01,0.380647,22.5,22.625,18.125,18.125,4674100.0
1991-06-03,0.418712,24.749998,24.874998,22.0,22.5,2084100.0
1991-07-01,0.466109,27.5,28.0,24.749998,24.999998,2566600.0
1991-08-01,0.48094,28.375,29.499998,25.375002,27.375,2605200.0
1991-09-03,0.527551,31.125,31.25,25.250002,28.625,2368900.0
1991-10-01,0.640938,37.75,37.875,30.75,30.875,3982100.0
1991-11-01,0.556045,32.75,38.25,29.750002,37.5,3909300.0
1991-12-02,0.773582,30.375,33.625,22.25,32.75,4091400.0
1992-01-02,0.812783,31.875,36.75,29.125,30.625,6434300.0
1992-02-03,0.847844,33.25,35.25,29.0,31.25,5569400.0
1992-03-02,0.882905,34.625,37.75,33.0,33.0,5143200.0
1992-04-01,0.728274,28.5,34.625,26.5,34.5,7816000.0
1992-05-01,0.737856,28.875,31.0,25.5,28.25,4660700.0
1992-06-01,0.600506,23.5,29.75,20.375,28.875,6154000.0
1992-07-01,0.630895,24.625,24.75,21.75,23.625,5106900.0
1992-08-03,0.576452,22.5,26.0,22.0,24.625,4330900.0
1992-09-01,0.461162,18.0,23.125,16.75,22.375,9484100.0
1992-10-01,0.520382,20.25,21.625,16.625,17.875,3647000.0
1992-11-02,0.639234,24.875,24.875,20.375,20.375,5902100.0
1992-12-01,0.671357,26.125,27.875,24.75,24.875,3354600.0
1993-01-04,0.778847,30.25,32.75,24.875,26.125,8597400.0
1993-02-01,0.83356,32.375,37.25,28.75,30.25,8445200.0
1993-03-01,0.939766,36.5,37.25,31.375,32.5,5192400.0
1993-04-01,0.845228,32.75,39.0,30.625,36.625,7443900.0
1993-05-03,0.909749,35.25,36.25,30.75,32.75,4152400.0
1993-06-01,1.103313,28.5,36.125,22.75,35.25,4342100.0
1993-07-01,1.124678,29.0,29.75,26.75,28.375002,4459100.0
1993-08-02,1.274959,32.875,33.625,28.124998,29.0,4399800.0
1993-09-01,1.33798,34.5,37.125,30.875,32.875,3963900.0
1993-10-01,1.344921,34.625,38.375,31.25,34.375,5039700.0
1993-11-01,1.238104,31.875,35.25,28.75,35.0,8153400.0
1993-12-01,1.257526,32.375,35.375,31.375,31.75,3920800.0
1994-01-03,1.14869,29.5,33.0,26.500002,32.125,9085500.0
1994-02-01,1.070813,27.5,30.375,25.999998,29.875,6510100.0
1994-03-01,1.046476,26.875,31.25,26.125,27.625,4940500.0
1994-04-04,1.107548,28.375002,29.25,25.25,26.125,5228300.0
1994-05-02,1.180734,30.249998,32.0,27.0,28.5,4290200.0
1994-06-01,0.966055,24.75,33.875,24.75,29.999998,6205300.0
1994-07-01,1.046875,26.75,27.625,23.75,24.875,5411800.0
1994-08-01,1.203418,30.750002,30.875,25.375,26.75,4655400.0
1994-09-01,1.15939,29.625,30.750002,27.625,30.625,4095500.0
1994-10-03,1.387332,35.375,37.0,27.625,29.5,6779500.0
1994-11-01,1.250069,31.875,35.75,30.500002,35.375,5609000.0
1994-12-01,1.367723,34.875,36.25,29.625,31.875,3490000.0
1995-01-03,1.572316,40.0,40.25,33.125,34.75,6682600.0
1995-02-01,1.744288,44.375,46.375,40.125,40.125,6159400.0
1995-03-01,1.90152,32.25,45.125,28.375002,44.375,4132600.0
1995-04-03,2.023118,34.25,34.375,29.5,31.624998,2825900.0
1995-05-01,2.06742,35.0,37.75,33.0,34.25,4236200.0
1995-06-01,2.591659,43.875,45.75,35.0,35.0,3563800.0
1995-07-03,2.729288,46.125,49.125,42.75,43.5,4518500.0
1995-08-01,2.758874,46.625,46.75,41.375,46.25,2203200.0
1995-09-01,3.43195,28.999998,46.5,23.375,46.25,3117500.0
1995-10-02,2.711645,22.875,28.375002,22.0,28.249998,3544500.0
1995-11-01,2.87464,24.25,25.25,22.5,22.875,3372200.0
1995-12-01,2.385655,20.125,24.25,16.5,24.25,6767100.0
1996-01-02,2.983419,25.125,25.375,18.0,20.0,3990000.0
1996-02-01,3.027948,25.5,26.375,22.875,24.875,3510200.0
1996-03-01,3.072476,25.875,27.374998,24.125,25.75,2634400.0
1996-04-01,2.913824,24.5,26.5,21.875,25.75,3975900.0
1996-05-01,2.884091,24.25,25.125,22.375,24.5,3145100.0
1996-06-03,2.913824,24.5,25.25,23.25,24.125,2446400.0
1996-07-01,2.875248,24.125,26.625,19.875,24.625,3299200.0
1996-08-01,2.979532,25.0,26.875,24.0,24.0,1861100.0
1996-09-03,2.741169,23.0,25.375,22.5,24.375,3381300.0
1996-10-01,2.985722,25.0,25.875,22.5,23.0,3705600.0
1996-11-01,3.612724,30.25,32.375,24.875,25.25,4628100.0
1996-12-02,3.821724,32.0,32.875,28.5,30.25,2390900.0
1997-01-02,4.478583,37.5,38.375,30.375,31.499998,3040500.0
1997-02-03,4.484584,37.5,42.0,36.75,37.25,3474500.0
1997-03-03,3.826846,32.0,39.625,31.624998,36.0,3253300.0
1997-04-01,4.379944,36.625,37.25,30.375,31.750002,5379800.0
1997-05-01,4.864876,40.625,40.625,35.0,36.375,8817900.0
1997-06-02,4.849907,40.5,42.875,39.125,40.625,4863600.0
1997-07-01,5.628288,47.0,49.125,40.0,40.875,3781700.0
1997-08-01,5.125124,42.75,46.9375,41.5,46.9375,3170800.0
1997-09-02,6.428883,35.75,47.1875,31.375,43.0,3148100.0
1997-10-01,6.136661,34.125,39.5625,29.25,35.75,3324500.0
1997-11-03,6.942196,38.5625,40.6875,34.1875,34.9375,3030100.0
1997-12-01,7.549779,41.9375,44.25,37.5625,39.125,2263500.0
1998-01-02,6.570895,36.5,41.4375,34.125,40.125,3424800.0
1998-02-02,6.802973,37.75,39.875,36.875,36.875,2509000.0
1998-03-02,6.848025,38.0,41.9375,36.625,37.8125,2997900.0
1998-04-01,6.307392,35.0,40.4375,32.75,38.25,5958900.0
1998-05-01,5.987578,33.1875,37.75,32.0,35.25,3800600.0
1998-06-01,5.886094,32.625,36.0625,29.5,33.0,3922700.0
1998-07-01,6.765625,37.5,46.0,33.375,33.5,5059000.0
1998-08-03,5.395934,29.875,39.5625,29.625,37.5,3513900.0
1998-09-01,7.111795,39.375,43.125,27.75,29.875,4695100.0
1998-10-01,8.669618,48.0,48.0,31.625,38.625,7222300.0
1998-11-02,10.190357,56.375,60.875,49.0,49.875,5762000.0
1998-12-01,15.234697,56.1875,68.5,39.0,53.0,6276800.0
1999-01-04,19.064554,70.3125,71.4375,50.875,56.25,7543200.0
1999-02-01,20.225904,74.5625,75.0,60.6875,70.5625,6183400.0
1999-03-01,26.074974,96.125,98.0,71.5625,74.0,7092200.0
1999-04-01,29.770905,109.75,155.0,93.1875,97.0,16035200.0
1999-05-03,28.625765,105.5,121.0,96.0625,109.75,9476500.0
1999-06-01,29.575432,109.0,109.875,80.0,104.5,10833100.0
1999-07-01,23.911331,44.0625,107.875,43.5,107.5,5763300.0
1999-08-02,21.44368,39.5,45.9375,35.25,43.5,6632800.0
1999-09-01,18.152481,33.4375,42.125,32.0,40.0,5874600.0
1999-10-01,20.900801,38.5,39.5,26.9375,33.25,8212100.0
1999-11-01,20.84866,38.390598,46.75,36.8125,38.9375,6566600.0
1999-12-01,20.772305,38.25,42.0,32.0,38.625,6154600.0
2000-01-03,19.109163,35.1875,43.25,33.875,38.5,7199200.0
2000-02-01,22.816689,42.0,42.1875,33.6875,36.4375,6754900.0
2000-03-01,30.965506,57.0,67.125,42.3125,43.125,7825000.0
