,Adj Close,Close,High,Low,Open,Volume
1993-01-29,28.165876,43.9375,43.9687,43.75,43.9687,2006400.0
1993-02-01,28.466335,44.4062,45.125,42.8125,43.9687,288600.0
1993-03-01,29.103992,45.1875,45.8437,44.2187,44.5625,136100.0
1993-04-01,28.359253,44.0312,45.25,43.2812,45.25,132600.0
1993-05-03,29.124088,45.2187,45.6562,43.8437,44.0937,94300.0
1993-06-01,29.229177,45.0625,45.8125,44.2187,45.375,176100.0
1993-07-01,29.087255,44.8437,45.2187,44.1562,45.125,294900.0
1993-08-02,30.202133,46.5625,46.5625,44.8437,44.9062,250300.0
1993-09-01,29.982391,45.9375,46.5937,44.8125,46.4062,212800.0
1993-10-01,30.573847,46.8437,47.1562,45.7187,45.875,335800.0
1993-11-01,30.247509,46.3437,47.0,45.5312,46.7812,265700.0
1993-12-01,30.618855,46.5937,47.1562,46.375,46.5937,292700.0
1994-01-03,31.686716,48.2187,48.3125,46.4062,46.5937,340500.0
1994-02-01,30.762638,46.8125,48.2812,46.5625,48.1562,595100.0
1994-03-01,29.473606,44.5937,47.3125,43.5312,46.8125,673600.0
1994-04-04,29.804073,45.0937,45.359299,43.3437,43.3437,626800.0
1994-05-02,30.279156,45.8125,45.9375,44.171799,45.0937,414500.0
1994-06-01,29.585304,44.4687,46.5625,44.0,45.703098,482900.0
1994-07-01,30.541683,45.9062,46.046799,44.375,44.6875,295500.0
1994-08-01,31.705969,47.6562,47.984299,45.6562,45.9375,360900.0
1994-09-01,30.905216,46.171799,47.7187,45.734299,47.5,300600.0
1994-10-03,31.783741,47.484299,47.703098,45.0,46.203098,260600.0
1994-11-01,30.518265,45.5937,47.328098,44.609299,47.2812,239300.0
1994-12-01,30.740541,45.5625,46.4062,44.6875,45.640598,513200.0
1995-01-03,31.773626,47.0937,47.234299,45.6875,45.703098,137800.0
1995-02-01,33.070312,49.015598,49.1562,47.0,47.1562,339300.0
1995-03-01,33.991215,50.109299,50.890598,48.2187,48.9687,220800.0
1995-04-03,34.998146,51.5937,51.671799,50.0625,50.0937,238200.0
1995-05-01,36.386642,53.640598,53.640598,51.390598,51.546799,343200.0
1995-06-01,37.122715,54.4062,55.1562,52.75,53.4062,295600.0
1995-07-03,38.316784,56.1562,56.703098,54.203098,54.4687,292500.0
1995-08-01,38.487366,56.4062,56.796799,55.421799,56.234299,373500.0
1995-09-01,40.118301,58.484299,58.9062,56.3437,56.390598,401900.0
1995-10-02,40.000454,58.3125,59.1875,57.265598,58.484299,429600.0
1995-11-01,41.779644,60.9062,61.203098,58.234299,58.2812,434600.0
1995-12-01,42.436943,61.484299,62.796799,60.578098,60.984299,507800.0
1996-01-02,43.946774,63.671799,63.6875,59.640598,61.4062,507200.0
1996-02-01,44.087025,63.875,66.6875,63.4375,63.609299,788200.0
1996-03-01,44.846119,64.6875,65.968697,62.0,64.640602,927600.0
1996-04-01,45.333561,65.390602,65.8125,62.125,65.0,723000.0
1996-05-01,46.362656,66.875,68.4375,63.078098,65.375,835300.0
1996-06-03,46.771614,67.109299,68.5,66.156197,66.890602,896600.0
1996-07-01,44.669899,64.093697,67.703102,60.375,67.281197,1344400.0
1996-08-01,45.530216,65.328102,67.343697,64.0625,64.156197,777000.0
1996-09-03,48.074116,68.625,69.25,64.375,64.468697,889700.0
1996-10-01,49.628387,70.843697,71.625,68.4375,68.703102,674700.0
1996-11-01,53.25148,76.015602,76.6875,70.265602,70.984299,1258100.0
1996-12-02,51.984207,73.843697,76.578102,71.875,75.921799,1730000.0
1997-01-02,55.196098,78.406197,79.6875,72.75,74.375,2128700.0
1997-02-03,55.724079,79.156197,82.0,77.125,78.718697,1736300.0
1997-03-03,53.265411,75.375,81.796799,75.25,78.75,2089200.0
1997-04-01,56.599983,80.093697,80.6875,73.3125,75.25,2775000.0
1997-05-01,60.177509,85.156197,85.5625,79.3125,80.218697,1886500.0
1997-06-02,62.650993,88.3125,90.5,84.078102,85.343697,2367400.0
1997-07-01,67.616959,95.3125,96.031197,88.390602,88.5,3068100.0
1997-08-01,64.114182,90.375,96.625,89.343697,95.5,4842800.0
1997-09-02,67.197464,94.375,96.375,90.25,90.6875,3941800.0
1997-10-01,65.550903,92.0625,98.5,84.375,95.25,6283100.0
1997-11-03,68.087494,95.625,96.8125,90.093697,93.1875,4985300.0
1997-12-01,69.386047,97.0625,99.0,92.375,96.218697,3796400.0
1998-01-02,70.279625,98.3125,99.5625,90.906197,97.3125,5411500.0
1998-02-02,75.149605,105.125,105.531197,99.718697,99.906197,3851400.0
1998-03-02,78.815666,109.9375,111.531197,103.156197,105.25,4238300.0
1998-04-01,79.823792,111.343697,113.4375,107.625,110.3125,6062500.0
1998-05-01,78.165924,109.031197,113.3125,107.578102,111.75,6051800.0
1998-06-01,81.493759,113.3125,114.6875,107.5,108.968697,6649000.0
1998-07-01,80.392448,111.781197,119.234299,111.3125,114.0625,7407300.0
1998-08-03,69.042694,96.0,112.421799,95.0,111.781197,13862100.0
