,Adj Close,Close,High,Low,Open,Volume
1990-02-01,5.342313,18.375,20.25,18.0,18.5,109400.0
1990-03-01,5.269628,18.125,18.875,17.125,18.125,178500.0
1990-04-02,6.723319,23.125,23.25,17.5,17.75,432700.0
1990-05-01,7.488175,25.625,25.875,22.25,23.125,453800.0
1990-06-01,7.707341,26.375,26.875,23.75,26.0,445600.0
1990-07-02,7.159426,24.5,27.375,23.375,26.5,393300.0
1990-08-01,7.272439,24.75,26.0,19.875,24.375,404800.0
1990-09-04,7.088792,24.125,25.875,22.375,24.375,373100.0
1990-10-01,7.19898,24.5,25.375,20.5,24.625,276800.0
1990-11-01,5.473979,18.5,24.625,17.125,24.25,475000.0
1990-12-03,6.06576,20.5,21.375,18.625,18.875,364300.0
1991-01-02,6.47261,21.875,22.0,17.75,20.25,331700.0
1991-02-01,6.288122,21.125,22.375,20.375,21.875,219800.0
1991-03-01,6.809031,22.875,24.25,20.625,21.0,303500.0
1991-04-01,6.6602,22.375,23.125,18.625,22.5,391700.0
1991-05-01,7.033504,23.5,24.0,20.125,22.375,283000.0
1991-06-03,6.696794,22.375,23.625,19.875,23.5,166300.0
1991-07-01,6.13561,20.5,23.625,19.625,22.375,266300.0
1991-08-01,5.986927,19.875,21.125,18.5,21.0,232100.0
1991-09-03,5.497429,18.25,20.25,17.75,19.875,258000.0
1991-10-01,5.535083,18.375,19.125,17.375,18.625,257700.0
1991-11-01,5.836558,19.25,21.125,17.875,18.375,358300.0
1991-12-02,6.367155,21.0,21.625,18.875,19.125,332700.0
1992-01-02,6.329255,20.875,22.25,19.375,20.875,298300.0
1992-02-03,5.877373,19.25,21.75,17.875,21.125,367700.0
1992-03-02,5.495726,18.0,19.5,17.875,19.5,166400.0
1992-04-01,5.61022,18.375,18.625,17.0,18.25,165200.0
1992-05-01,6.106123,19.875,20.625,17.875,18.375,229300.0
1992-06-01,6.029317,19.625,20.75,18.0,20.125,163200.0
1992-07-01,5.990913,19.5,19.875,18.25,19.625,126200.0
1992-08-03,6.146831,19.875,20.125,18.875,19.25,113700.0
1992-09-01,5.914875,19.125,20.625,18.75,19.875,179900.0
1992-10-01,6.417446,20.75,20.75,18.5,19.25,124700.0
1992-11-02,6.41609,20.625,21.625,19.125,20.75,179300.0
1992-12-01,5.132872,16.5,22.875,15.5,20.5,446400.0
1993-01-04,5.210642,16.75,16.875,15.5,16.25,222800.0
1993-02-01,5.252664,16.75,17.0,15.5,16.75,228100.0
1993-03-01,5.527057,17.625,17.875,15.875,16.5,238700.0
1993-04-01,5.448658,17.375,18.125,16.0,17.75,214400.0
1993-05-03,5.606885,17.75,18.75,16.875,17.625,240100.0
1993-06-01,5.883281,18.625,19.875,17.125,17.625,204600.0
1993-07-01,5.962251,18.875,19.125,18.125,18.25,253200.0
1993-08-02,6.196125,19.5,21.375,18.25,19.125,318500.0
1993-09-01,6.633031,20.875,21.125,19.125,19.5,307100.0
1993-10-01,6.633031,20.875,22.625,20.375,21.125,227000.0
1993-11-01,5.561204,17.375,20.875,16.0,20.625,231400.0
1993-12-01,5.201126,16.25,17.75,15.0,17.75,213500.0
1994-01-03,5.0811,15.875,16.875,14.875,16.375,242500.0
1994-02-01,5.961291,18.625,18.875,15.125,15.625,262300.0
1994-03-01,5.801256,18.125,19.25,17.5,18.875,349500.0
1994-04-04,5.961291,18.625,19.25,17.5,17.5,284300.0
1994-05-02,6.363511,19.75,20.25,18.5,19.125,186800.0
1994-06-01,5.638554,17.5,20.125,17.125,19.625,152000.0
1994-07-01,6.444062,20.0,20.875,16.875,17.25,150000.0
1994-08-01,6.606275,20.375,20.75,19.0,20.0,133000.0
1994-09-01,5.998335,18.5,20.5,18.3125,19.75,111200.0
1994-10-03,5.593042,17.25,19.0,16.875,18.75,169300.0
1994-11-01,5.145973,15.75,17.75,15.75,17.5,173300.0
1994-12-01,5.472702,16.75,17.25,14.75,15.625,185900.0
1995-01-03,5.472702,16.75,17.125,15.5,16.75,143300.0
