,Adj Close,Close,High,Low,Open,Volume
1990-02-01,1.532852,35.25,35.5,31.25,33.375,3892700
1990-03-01,1.583889,36.25,38.5,35.25,35.25,6620000
1990-04-02,1.485579,34.0,38.5,33.75,35.5,5637100
1990-05-01,1.835127,42.0,44.0,33.625,34.0,11749500
1990-06-01,1.739435,39.625,42.375,37.75,42.375,6356600
1990-07-02,1.404717,32.0,40.875,31.5,39.75,6934700
1990-08-01,1.218153,27.75,31.75,26.0,31.625,5661700
1990-09-04,1.242749,28.125,30.75,24.875,27.625,5571500
1990-10-01,1.060479,24.0,28.625,22.5,28.125,3466400
1990-11-01,1.397402,31.625,32.625,23.75,23.875,5671900
1990-12-03,1.686954,38.0,39.625,31.625,31.75,9034100
1991-01-02,1.659208,37.375,42.25,34.0,37.625,10209900
1991-02-01,1.842331,41.5,43.5,36.375,37.25,7628800
1991-03-01,1.778219,39.875,45.75,37.375,41.375,6790800
1991-04-01,1.794942,40.25,47.625,39.625,39.625,8343200
1991-05-01,1.744772,39.125,40.875,36.0,40.25,6912800
1991-06-03,1.490788,33.25,40.375,32.5,39.5,6293200
1991-07-01,1.457161,32.5,37.5,31.75,34.625,5493800
1991-08-01,1.41793,31.625,34.125,29.5,32.25,5907900
1991-09-03,1.274418,28.25,32.25,27.625,31.625,5840100
1991-10-01,1.426672,31.625,33.0,27.75,28.25,5798600
1991-11-01,1.257501,27.875,32.75,27.75,31.5,5187100
1991-12-02,1.396731,30.75,31.375,26.0,27.5,5550300
1992-01-02,1.623842,35.75,36.875,30.0,30.5,7424800
1992-02-03,1.703331,37.5,40.5,34.0,35.375,7632200
1992-03-02,1.489698,32.625,36.75,32.625,35.25,6795100
1992-04-01,1.581021,34.625,37.125,31.5,32.25,4075500
1992-05-01,1.718004,37.625,38.375,34.0,34.75,4917000
1992-06-01,1.612233,35.125,38.875,32.25,37.5,4127200
1992-07-01,1.922057,41.875,42.0,35.5,35.625,8149300
1992-08-03,1.772882,38.625,42.375,36.75,41.25,5240700
1992-09-01,1.999038,43.375,45.0,38.5,39.125,7176300
1992-10-01,2.26404,49.125,51.25,39.0,43.5,9649200
1992-11-02,2.26404,49.125,52.25,47.25,48.875,6330600
1992-12-01,2.157105,46.625,50.75,45.125,49.125,6622800
1993-01-04,2.49831,54.0,59.25,45.75,46.625,14720200
1993-02-01,2.613972,56.5,58.5,50.5,54.25,9686200
1993-03-01,2.703326,58.25,63.375,54.5,56.625,7725800
1993-04-01,2.645314,57.0,59.5,51.625,58.0,9716000
1993-05-03,3.004984,64.75,66.875,56.875,57.0,10164900
1993-06-01,3.251437,69.875,72.375,64.5,64.875,9104800
1993-07-01,3.292153,70.75,76.5,65.875,70.0,8931400
1993-08-02,3.751658,80.625,84.25,70.125,71.0,11088400
1993-09-01,3.521333,75.5,80.875,73.25,79.25,10047500
1993-10-01,3.060761,65.625,76.5,62.0,76.5,22176100
1993-11-01,2.996631,64.25,67.25,55.75,66.25,16339500
1993-12-01,2.970563,63.5,66.5,58.75,65.0,10489000
1994-01-03,3.274636,70.0,74.125,61.0,63.25,12183900
1994-02-01,3.789222,81.0,81.75,68.875,70.375,10643500
1994-03-01,3.622503,77.25,89.5,72.75,81.25,14676800
1994-04-04,3.587333,76.5,83.0,63.25,75.5,14950900
1994-05-02,3.763183,80.25,80.75,69.75,76.75,10533500
1994-06-01,3.74024,79.5,85.75,73.75,80.125,12129400
1994-07-01,3.699074,78.625,87.5,74.875,79.5,14597600
1994-08-01,3.663788,77.875,85.5,76.5,78.625,13874900
1994-09-01,3.211096,68.0,79.0,65.75,77.25,19588000
1994-10-03,3.535747,74.875,75.625,63.375,68.75,15830400
1994-11-01,3.565261,75.5,80.625,73.5,74.5,11407600
1994-12-01,3.548092,74.875,77.75,69.5,75.125,8659800
1995-01-03,3.269694,69.0,76.5,68.75,75.0,14964200
1995-02-01,3.731716,78.75,80.75,69.0,69.25,15820300
1995-03-01,4.204895,88.5,98.0,79.375,79.5,21741900
1995-04-03,5.036372,106.0,106.75,86.75,88.625,20834900
1995-05-01,5.493684,115.625,126.125,104.125,105.75,22722300
1995-06-01,6.376184,133.875,144.0,115.25,116.25,20512000
1995-07-03,7.441858,156.25,159.75,133.0,133.0,20398500
1995-08-01,7.108463,74.625,164.25,66.5,155.75,16674100
1995-09-01,7.608556,79.875,83.75,72.375,74.5,20175900
1995-10-02,6.538938,68.5,81.25,63.5,79.75,21536400
1995-11-01,5.524686,57.875,68.5,52.25,68.25,27902700
1995-12-01,4.931807,51.5,57.375,46.0,56.75,24178100
1996-01-02,4.44102,46.375,51.875,42.75,51.25,24917600
1996-02-01,4.776192,49.875,55.75,45.5,46.0,25179100
1996-03-01,4.871955,50.875,54.875,47.25,49.25,17098800
1996-04-01,5.428763,56.5,59.625,49.625,50.625,16213200
1996-05-01,5.404743,56.25,58.5,50.625,56.25,15191300
1996-06-03,4.792205,49.875,56.5,48.625,56.125,11796100
1996-07-01,4.169859,43.25,52.25,40.5,51.0,15565900
1996-08-01,4.507305,46.75,48.625,42.375,43.375,9709500
1996-09-03,5.33042,55.125,59.25,43.625,46.0,18293400
1996-10-01,4.653542,48.125,57.375,47.5,54.75,12842700
1996-11-01,6.164432,63.75,64.125,47.625,48.125,16385800
1996-12-02,6.180786,63.75,68.375,61.0,63.5,12186100
1997-01-02,7.598731,78.375,80.5,62.125,64.0,19207700
1997-02-03,7.477539,77.125,85.125,73.0,79.375,17041200
1997-03-03,7.275404,74.875,87.25,71.625,77.25,18550200
1997-04-01,8.672185,89.25,90.375,73.625,74.875,17229400
1997-05-01,8.720768,89.75,96.375,85.375,89.375,15093300
1997-06-02,8.183984,84.0625,90.75,80.875,89.875,13872000
1997-07-01,11.195933,115.0,119.5,84.25,84.25,16693100
1997-08-01,11.062069,113.625,131.3125,113.625,115.75,17688200
1997-09-02,13.062448,134.0,142.0,114.25,114.25,15121400
1997-10-01,10.4,106.6875,142.5,101.0,135.1875,22190300
1997-11-03,9.674985,49.625,121.875,48.125,108.5,31921500
1997-12-01,8.789958,45.0,52.0,39.625,49.75,18984900
1998-01-02,10.670033,54.625,56.5,40.25,45.625,18232100
1998-02-02,11.32928,58.0,62.75,52.1875,56.375,16061700
1998-03-02,10.572367,54.125,57.8125,51.625,57.75,13645900
1998-04-01,12.543314,64.125,64.9375,51.5,54.125,13004500
1998-05-01,10.061547,51.4375,67.0,51.25,64.0,10750000
1998-06-01,11.406346,58.3125,61.3125,46.875,51.0,15919000
1998-07-01,11.630936,59.375,63.6875,55.3125,59.0,10773700
1998-08-03,9.280262,47.375,63.5,46.875,59.0,8877900
1998-09-01,10.38214,53.0,57.4375,46.0625,49.25,9748200
1998-10-01,12.542303,63.9375,65.375,45.375,52.0,11905800
1998-11-02,14.982106,76.375,79.375,61.1875,63.875,11965300
1998-12-01,16.796633,85.625,90.4375,75.0625,75.75,11435000
1999-01-04,19.413132,98.875,102.8125,86.0,86.0625,12822000
1999-02-01,17.511087,89.1875,104.9375,86.5625,98.875,13198600
1999-03-01,19.486759,99.25,107.875,86.0,90.75,14851600
1999-04-01,20.066484,102.125,115.25,99.0,102.0,12347700
1999-05-03,21.491032,109.375,117.875,100.3125,101.0625,9387900
1999-06-01,28.294479,144.0,145.0,105.4375,109.875,11600700
1999-07-01,28.311291,144.0,155.375,134.1875,144.25,10799700
1999-08-02,32.26799,82.0625,153.5,71.3125,145.0,8859200
1999-09-01,32.341717,82.25,93.4375,79.8125,82.6875,10013900
1999-10-01,35.310341,89.75,94.125,75.75,84.0,11837400
1999-11-01,37.793869,96.0625,104.9375,87.0,89.5,8102100
1999-12-01,38.015175,96.625,111.5,92.625,96.25,7983900
2000-01-03,42.408287,107.75,117.5,90.5,99.5,10065900
2000-02-01,65.383545,166.125,169.6875,105.875,107.625,10656200
2000-03-01,62.972866,160.0,199.5625,143.8125,167.4375,11681600
2000-04-03,64.122917,162.875,169.0,128.25,160.0,12797900
2000-05-01,56.88879,72.25,165.4375,60.125,163.75,8891700
2000-06-01,54.083717,68.6875,90.0,67.9375,74.375,7970800
2000-07-03,46.864952,59.5,74.5,55.875,69.0,11270600
2000-08-01,52.575386,66.75,71.0,53.0,59.8125,9965000
2000-09-01,37.413197,47.5,68.625,46.5,68.4375,11961300
2000-10-02,38.662243,49.0625,51.5625,35.0,49.1875,14516200
2000-11-01,29.403006,37.3125,48.875,36.6875,47.75,11129700
2000-12-01,37.332458,47.375,53.25,36.75,37.9375,11174800
2001-01-02,34.532761,43.799999,54.6875,40.02,46.625,13728600
2001-02-01,23.297787,29.549999,44.990002,28.25,44.0,13632700
2001-03-01,24.425226,30.98,39.580002,28.6,29.0,13233500
